,brand,encoded
0,Daewoo,1
1,Dongben,1
2,Daihatsu,1
3,Ssangyong,1
4,Chevrolet,1
5,Thaco,1
6,Suzuki,1
7,Renault,1
8,Acura,1
9,Kia,2
10,Nissan,2
11,MG,2
12,Isuzu,2
13,Mitsubishi,2
14,Baic,2
15,Hyundai,2
16,Honda,2
17,Mazda,2
18,VinFast,2
19,Ford,2
20,Toyota,2
21,Jaguar,2
22,Hino,2
23,Peugeot,2
24,Subaru,3
25,Volkswagen,3
26,Audi,3
27,Mini,4
28,BMW,4
29,Volvo,4
30,Mercedes Benz,4
31,Jeep,5
32,Lexus,5
33,Porsche,5
34,LandRover,6
35,Maserati,6
36,Bentley,8
37,Lamborghini,9
38,Rolls Royce,9
